@relation EEG_DATA-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute AF3 numeric
@attribute F7 numeric
@attribute F3 numeric
@attribute FC5 numeric
@attribute T7 numeric
@attribute P7 numeric
@attribute O1 numeric
@attribute O2 numeric
@attribute P8 numeric
@attribute T8 numeric
@attribute FC6 numeric
@attribute F4 numeric
@attribute F8 numeric
@attribute AF4 numeric
@attribute eyeDetection {0,1}

@data
0.010672,0.238582,0.555448,0.002632,0.512633,0.005053,0.00354,0.016734,0.01075,0.499418,0.266109,0.427152,0.029825,0.004232,0
0.010699,0.239304,0.555273,0.002637,0.511579,0.00509,0.003564,0.02339,0.010822,0.500582,0.268565,0.428663,0.029865,0.00423,0
0.010689,0.238994,0.55501,0.002629,0.510409,0.005108,0.003581,0.02643,0.010826,0.499418,0.268999,0.430394,0.029889,0.004223,0
0.010649,0.237138,0.555097,0.002619,0.511228,0.00511,0.003579,0.022819,0.0108,0.497626,0.26712,0.430394,0.029845,0.004218,0
0.010639,0.236209,0.554482,0.002625,0.512163,0.005108,0.003573,0.02263,0.010818,0.498365,0.265241,0.428556,0.029785,0.004208,0
0.010631,0.236107,0.552902,0.00262,0.51193,0.005111,0.003569,0.023008,0.010796,0.497626,0.262641,0.425854,0.029731,0.00419,0
0.010607,0.235178,0.551322,0.002606,0.511814,0.005097,0.003556,0.016923,0.010713,0.495197,0.260185,0.424016,0.02969,0.004176,0
0.010606,0.234456,0.550269,0.002613,0.512749,0.005064,0.003539,0.011598,0.010676,0.495936,0.259751,0.423259,0.029697,0.00418,0
0.010584,0.235075,0.549565,0.00262,0.513333,0.005058,0.003533,0.011027,0.01069,0.496887,0.259897,0.422612,0.02971,0.004185,0
0.010548,0.235385,0.548863,0.002604,0.512047,0.00508,0.003529,0.009507,0.010672,0.493719,0.258739,0.421531,0.029687,0.004173,0
0.010569,0.235075,0.548688,0.002602,0.51193,0.005093,0.00353,0.011409,0.01069,0.491609,0.257731,0.422071,0.02967,0.00417,0
0.010612,0.236209,0.549829,0.002627,0.514387,0.005108,0.003543,0.018825,0.010781,0.494141,0.258886,0.424016,0.029673,0.004181,0
0.010606,0.23786,0.551322,0.002636,0.515438,0.005127,0.003549,0.021677,0.01081,0.497201,0.260185,0.42434,0.029673,0.004184,0
0.010592,0.238168,0.55176,0.002631,0.514854,0.005133,0.003547,0.019585,0.010795,0.497626,0.260185,0.423693,0.029687,0.004189,0
0.010631,0.238375,0.552638,0.002633,0.515205,0.005135,0.003553,0.021487,0.010829,0.497626,0.261196,0.425205,0.029744,0.004197,0
0.010669,0.239406,0.554308,0.002637,0.515205,0.005125,0.003563,0.024339,0.010845,0.499735,0.265098,0.428016,0.029845,0.004206,0
0.010664,0.239406,0.55501,0.002636,0.514971,0.00511,0.003556,0.021487,0.010779,0.50153,0.267408,0.429205,0.029913,0.004219,0
0.010651,0.237343,0.554482,0.002629,0.514387,0.005115,0.003547,0.016541,0.010717,0.499209,0.265241,0.428231,0.029865,0.004218,0
0.010656,0.23559,0.55334,0.002626,0.512163,0.005118,0.003553,0.014832,0.010715,0.495197,0.262497,0.426718,0.029795,0.0042,0
0.010654,0.236931,0.553253,0.002631,0.512047,0.005104,0.00356,0.017305,0.01076,0.495726,0.262931,0.426935,0.029825,0.004204,0
0.010647,0.238787,0.554308,0.002638,0.514619,0.005108,0.003558,0.020345,0.010806,0.498892,0.265965,0.428016,0.029889,0.004218,0
0.010646,0.237755,0.554659,0.002633,0.514619,0.005114,0.003555,0.020916,0.010806,0.499631,0.26712,0.428448,0.029882,0.004209,0
0.010627,0.23559,0.554308,0.002628,0.5131,0.005097,0.003554,0.021487,0.010787,0.498365,0.265675,0.428016,0.029835,0.004199,0
0.010612,0.235283,0.55378,0.002628,0.513452,0.005091,0.003544,0.022819,0.010795,0.498153,0.263796,0.427042,0.029801,0.004203,0
0.010636,0.237034,0.552815,0.00263,0.514035,0.005114,0.003534,0.021677,0.010804,0.499209,0.263943,0.42661,0.029812,0.004199,0
0.010657,0.239406,0.552551,0.002636,0.514854,0.005128,0.003545,0.019967,0.010791,0.498575,0.264954,0.42661,0.029815,0.004189,0
0.010629,0.238477,0.552815,0.002638,0.515673,0.005117,0.003559,0.019774,0.010767,0.496148,0.262785,0.425639,0.029758,0.004178,0
0.010596,0.235797,0.55176,0.00263,0.513333,0.005105,0.003557,0.019396,0.010744,0.493614,0.259173,0.424233,0.029697,0.004172,0
0.010604,0.236312,0.552287,0.002622,0.51076,0.005104,0.003544,0.016923,0.010734,0.493085,0.260185,0.425422,0.029741,0.004189,0
0.010656,0.238889,0.555273,0.002638,0.512749,0.005091,0.003536,0.015403,0.01076,0.496148,0.265385,0.428988,0.029845,0.004215,0
0.010682,0.238994,0.556414,0.002653,0.514387,0.005083,0.003534,0.017305,0.010796,0.499843,0.267841,0.430501,0.029886,0.004217,0
0.010639,0.236726,0.554922,0.002637,0.51193,0.005097,0.003537,0.019203,0.010802,0.499313,0.264807,0.428231,0.029818,0.004195,0
0.010596,0.235178,0.553868,0.002622,0.511344,0.0051,0.00354,0.020345,0.010789,0.49657,0.262207,0.426178,0.029744,0.004185,0
0.010626,0.235695,0.55457,0.002635,0.514619,0.005091,0.003539,0.020916,0.010781,0.497097,0.263075,0.427042,0.029768,0.004188,0
0.010667,0.236107,0.55501,0.00264,0.515089,0.005107,0.003545,0.021106,0.010781,0.497097,0.264374,0.428016,0.029801,0.004193,0
0.010651,0.235385,0.554395,0.00263,0.512865,0.005118,0.003549,0.023768,0.010808,0.496253,0.264374,0.428016,0.029812,0.004205,0
0.010624,0.2359,0.55457,0.002631,0.513217,0.005098,0.003542,0.025481,0.010829,0.49794,0.266253,0.428663,0.029852,0.004215,0
0.010629,0.236726,0.554219,0.002638,0.513919,0.005097,0.003536,0.023957,0.010826,0.498365,0.268132,0.428988,0.029859,0.004206,0
0.010637,0.236004,0.552113,0.00263,0.512982,0.005115,0.003537,0.023008,0.010814,0.496887,0.266109,0.427584,0.029798,0.004191,0
0.010634,0.235488,0.551322,0.00262,0.514387,0.005113,0.003532,0.021866,0.010785,0.497097,0.264086,0.425854,0.029764,0.004194,0
0.010622,0.235385,0.551322,0.002616,0.517076,0.005104,0.003529,0.018443,0.01075,0.497309,0.264374,0.425205,0.029795,0.004193,0
0.010611,0.235488,0.549654,0.002609,0.515673,0.00511,0.003537,0.017683,0.01074,0.495514,0.263943,0.424448,0.029791,0.004186,0
0.010619,0.236209,0.549654,0.002611,0.513919,0.005111,0.003533,0.019774,0.010746,0.495514,0.263365,0.424665,0.029758,0.004189,0
0.010626,0.236622,0.551585,0.002626,0.516141,0.005108,0.003526,0.021106,0.010756,0.497201,0.264664,0.426718,0.029754,0.004191,0
0.010609,0.235695,0.551058,0.002621,0.516024,0.005108,0.003522,0.021106,0.010777,0.497519,0.26452,0.426935,0.029744,0.004179,0
0.010592,0.234561,0.548776,0.002602,0.512163,0.005098,0.00352,0.019585,0.010769,0.495936,0.262064,0.424233,0.02971,0.00417,0
0.010602,0.234766,0.548599,0.002604,0.511814,0.005091,0.003522,0.016734,0.010729,0.494775,0.261773,0.423044,0.0297,0.004179,0
0.010622,0.2359,0.55018,0.002612,0.514503,0.005095,0.003529,0.016163,0.010725,0.495619,0.263509,0.424773,0.029724,0.004192,0
0.010626,0.235488,0.551409,0.002605,0.514035,0.005101,0.003537,0.019014,0.010736,0.49467,0.263796,0.426071,0.029727,0.004191,0
0.010612,0.234868,0.55176,0.002602,0.512633,0.005101,0.003532,0.019396,0.010736,0.494563,0.26423,0.427042,0.029747,0.004184,0
0.010607,0.236107,0.551673,0.002608,0.513452,0.00509,0.003526,0.017494,0.010762,0.49794,0.266253,0.428124,0.029815,0.004193,0
0.010622,0.237034,0.551936,0.002611,0.515322,0.00509,0.003537,0.019585,0.010791,0.499526,0.267554,0.428016,0.029835,0.004203,0
0.010647,0.236107,0.552815,0.002609,0.515438,0.00511,0.003552,0.023008,0.010785,0.498153,0.267698,0.428448,0.029828,0.004202,0
0.010657,0.235695,0.553429,0.002609,0.514387,0.005124,0.003551,0.023197,0.010806,0.499313,0.268132,0.42953,0.029865,0.004207,0
0.010639,0.236107,0.552902,0.002606,0.51427,0.005111,0.003544,0.022819,0.010833,0.499948,0.267841,0.428663,0.029862,0.004211,0
0.010607,0.235488,0.551498,0.002601,0.514503,0.005094,0.003541,0.021298,0.010789,0.497201,0.265531,0.426827,0.029801,0.004201,0
0.010607,0.235385,0.551673,0.002605,0.513801,0.005093,0.003537,0.019203,0.010756,0.49657,0.263652,0.427042,0.029761,0.004187,0
0.010626,0.236519,0.552287,0.002613,0.513568,0.0051,0.003543,0.019585,0.010762,0.497201,0.26423,0.427475,0.029754,0.004185,0
0.010601,0.2359,0.550531,0.002601,0.512749,0.005097,0.003546,0.019774,0.010746,0.49488,0.263796,0.425961,0.029717,0.004182,0
0.010566,0.233529,0.548776,0.002581,0.510644,0.005093,0.003541,0.019203,0.010758,0.493719,0.262064,0.424558,0.029684,0.004181,0
0.010569,0.233839,0.549039,0.002589,0.511579,0.005103,0.00354,0.021677,0.0108,0.49657,0.262931,0.425639,0.02971,0.004189,0
0.010592,0.236519,0.549654,0.002601,0.514387,0.005108,0.003537,0.022248,0.010785,0.498365,0.265531,0.427152,0.029771,0.004197,0
0.010616,0.236931,0.550005,0.002599,0.513684,0.005095,0.003527,0.019203,0.010748,0.496992,0.264954,0.427152,0.029768,0.004196,0
0.010621,0.23559,0.551498,0.002605,0.51193,0.005085,0.003519,0.019014,0.010763,0.495936,0.264086,0.427152,0.029724,0.004191,0
0.010616,0.235797,0.552287,0.002601,0.513684,0.005095,0.003527,0.020916,0.010783,0.495726,0.265531,0.428016,0.029747,0.004196,0
0.010619,0.236622,0.550794,0.002589,0.513919,0.005104,0.003537,0.020345,0.010779,0.49657,0.266543,0.428124,0.029801,0.0042,0
0.010606,0.236107,0.549741,0.002595,0.510995,0.005094,0.003536,0.017494,0.010752,0.497097,0.264807,0.427909,0.029774,0.004191,0
0.010569,0.234456,0.549565,0.002604,0.510644,0.005084,0.003525,0.014832,0.010723,0.496041,0.262207,0.426935,0.02969,0.004175,0
0.010563,0.233425,0.548336,0.002589,0.511695,0.005081,0.003517,0.014261,0.010727,0.494248,0.261196,0.42499,0.02966,0.004172,0
0.010581,0.233322,0.546581,0.002576,0.510995,0.005085,0.003526,0.017112,0.01076,0.494775,0.262207,0.424665,0.02971,0.004184,0
0.010573,0.233322,0.546317,0.00258,0.510176,0.005091,0.003542,0.023197,0.010802,0.496887,0.263652,0.425422,0.029751,0.004181,0
0.010564,0.233013,0.546317,0.002574,0.510293,0.005097,0.003548,0.027001,0.010824,0.498153,0.263796,0.424773,0.029721,0.004168,0
0.010588,0.234044,0.546053,0.002576,0.510644,0.005087,0.003535,0.023008,0.0108,0.49794,0.262785,0.424882,0.0297,0.004174,0
0.010601,0.235385,0.547195,0.002597,0.511463,0.005071,0.003517,0.016352,0.010742,0.49657,0.262785,0.426071,0.029724,0.004186,0
0.010584,0.234354,0.548074,0.002599,0.511579,0.005066,0.00351,0.015021,0.010713,0.495514,0.263652,0.425746,0.029717,0.004182,0
0.010574,0.233632,0.547106,0.002584,0.510528,0.005073,0.003509,0.016163,0.010721,0.493824,0.262207,0.424448,0.02967,0.004173,0
0.010594,0.235385,0.546668,0.002582,0.51076,0.005071,0.003503,0.015592,0.010727,0.49298,0.260041,0.425854,0.029677,0.004179,0
0.010617,0.236622,0.547195,0.002592,0.511112,0.005063,0.003502,0.016352,0.010729,0.494353,0.26192,0.427475,0.029704,0.004186,0
0.010612,0.235695,0.547283,0.002589,0.510409,0.005071,0.003523,0.019203,0.010736,0.494353,0.263075,0.426071,0.029667,0.004183,0
0.010594,0.235075,0.546492,0.002582,0.509825,0.00509,0.00353,0.019585,0.010742,0.493614,0.26163,0.42499,0.029643,0.004178,0
0.010609,0.236622,0.546668,0.002588,0.510176,0.005088,0.003515,0.016541,0.010738,0.494987,0.262064,0.425961,0.029694,0.004189,0
0.010667,0.239096,0.547985,0.002598,0.510995,0.005088,0.003515,0.016163,0.010752,0.496148,0.263219,0.426718,0.02969,0.004208,0
0.010724,0.240952,0.548776,0.002604,0.510995,0.005097,0.003525,0.019203,0.010783,0.495092,0.262641,0.426827,0.029673,0.004223,0
0.010776,0.244046,0.549741,0.00262,0.511579,0.005076,0.003511,0.018065,0.01076,0.494563,0.263365,0.427475,0.029761,0.004239,0
0.010852,0.249716,0.551849,0.002651,0.512749,0.005043,0.003488,0.01198,0.010698,0.49467,0.265241,0.428341,0.029835,0.004263,0
0.010937,0.253222,0.552551,0.002661,0.512514,0.005053,0.003481,0.011788,0.010711,0.494353,0.265965,0.428663,0.029852,0.004286,0
0.010972,0.254047,0.55176,0.002649,0.511463,0.005068,0.003488,0.016352,0.010738,0.493931,0.266686,0.42888,0.029902,0.004298,0
0.010987,0.256522,0.551498,0.002656,0.512047,0.005061,0.003497,0.013883,0.010678,0.492136,0.266543,0.42888,0.029933,0.004305,0
0.01103,0.259821,0.552727,0.002661,0.512514,0.00507,0.00351,0.009507,0.010651,0.491292,0.266109,0.430177,0.029926,0.004319,0
0.011085,0.26013,0.554308,0.002657,0.511228,0.005084,0.003517,0.011409,0.01069,0.492558,0.26683,0.431907,0.029973,0.004341,0
0.011108,0.260026,0.554833,0.002666,0.510644,0.005064,0.003506,0.012169,0.010682,0.492663,0.268275,0.432447,0.030041,0.004355,0
0.011122,0.263016,0.555097,0.00268,0.511112,0.005046,0.003497,0.011409,0.010686,0.492453,0.270154,0.433096,0.030098,0.004359,0
0.011167,0.266212,0.556765,0.002689,0.512514,0.005057,0.003511,0.016352,0.010762,0.495831,0.273766,0.435041,0.030185,0.004374,0
0.011192,0.266624,0.557732,0.002701,0.513452,0.005063,0.003517,0.020727,0.010791,0.498892,0.277665,0.436662,0.03028,0.004389,0
0.011175,0.2658,0.556765,0.002706,0.513217,0.005056,0.003508,0.019203,0.010769,0.498048,0.277811,0.436771,0.03031,0.004387,0
0.011183,0.266315,0.557205,0.002705,0.513452,0.005056,0.003511,0.017112,0.010748,0.49678,0.27651,0.437094,0.03029,0.004386,0
0.011207,0.266419,0.557907,0.002701,0.513568,0.005063,0.003522,0.013501,0.010703,0.496887,0.277234,0.437851,0.03031,0.004393,0
0.011203,0.265388,0.557205,0.002693,0.513801,0.005073,0.003517,0.009696,0.01069,0.497414,0.279256,0.43796,0.030404,0.004406,0
0.011216,0.265903,0.557994,0.002696,0.515205,0.00509,0.00351,0.008936,0.010698,0.497836,0.280411,0.438392,0.030492,0.004416,0
0.011226,0.266007,0.559838,0.002701,0.514971,0.005091,0.003513,0.008176,0.010665,0.497519,0.280555,0.438824,0.030499,0.004412,0
0.011197,0.263325,0.559838,0.002689,0.512398,0.005066,0.003512,0.006467,0.010653,0.496992,0.28171,0.439149,0.030512,0.004415,0
0.0112,0.261677,0.559576,0.00268,0.511112,0.005046,0.003508,0.007987,0.010698,0.49847,0.284166,0.44077,0.0306,0.004435,0
0.011216,0.261882,0.560102,0.002679,0.512163,0.005053,0.003517,0.011027,0.010727,0.500369,0.285612,0.441634,0.030661,0.004436,0
0.011197,0.26116,0.559663,0.00268,0.512282,0.005056,0.003524,0.010267,0.010701,0.499526,0.284457,0.440338,0.030627,0.00442,0
0.011185,0.258789,0.559223,0.002674,0.510409,0.005041,0.003518,0.009696,0.01069,0.496992,0.282578,0.439473,0.03061,0.004424,0
0.011178,0.256417,0.558872,0.002661,0.509942,0.005048,0.003512,0.010456,0.010688,0.495092,0.280699,0.439149,0.03061,0.004426,0
0.011163,0.256005,0.558785,0.002653,0.511579,0.005067,0.003507,0.007605,0.010666,0.495726,0.28171,0.439041,0.030644,0.004434,0
0.011205,0.257139,0.559576,0.002662,0.512398,0.005048,0.003505,0.005135,0.010684,0.499526,0.288212,0.441202,0.030842,0.00447,0
0.011236,0.255902,0.560629,0.002665,0.510995,0.005026,0.003511,0.008936,0.010752,0.503535,0.293125,0.443904,0.031004,0.004489,0
0.01119,0.252293,0.560014,0.002657,0.509709,0.005037,0.003523,0.01274,0.010769,0.503642,0.291102,0.443257,0.030923,0.004462,0
0.011138,0.249716,0.558258,0.002646,0.509709,0.005056,0.003525,0.011598,0.010744,0.501318,0.288502,0.441309,0.030832,0.00445,0
0.01113,0.247758,0.557819,0.002638,0.509709,0.005056,0.003521,0.014072,0.010789,0.501635,0.289944,0.442175,0.030873,0.004464,0
0.011118,0.245283,0.558083,0.002626,0.509358,0.005051,0.003516,0.019203,0.010822,0.502691,0.28908,0.442822,0.030842,0.004453,0
0.011097,0.244149,0.556414,0.00261,0.508539,0.005053,0.003507,0.017683,0.010777,0.502164,0.286623,0.440555,0.030799,0.004438,0
0.01109,0.243632,0.553955,0.002613,0.508655,0.005053,0.003504,0.015403,0.010762,0.501635,0.287778,0.438717,0.030869,0.004445,0
0.01111,0.243015,0.554922,0.002626,0.510176,0.005056,0.003509,0.017305,0.010769,0.502586,0.290812,0.440013,0.030943,0.004458,0
0.011143,0.243427,0.557907,0.002633,0.511344,0.005068,0.003512,0.016923,0.010767,0.50512,0.294567,0.442715,0.031058,0.004478,0
0.011153,0.244046,0.559049,0.002633,0.511579,0.005073,0.003511,0.014072,0.010795,0.50702,0.298035,0.44466,0.031186,0.004486,0
0.01113,0.243325,0.55817,0.002632,0.511463,0.00507,0.003517,0.014832,0.010837,0.505964,0.296446,0.444121,0.031139,0.004468,0
